
644177985536 bytes (644 GB, 600 GiB) copied, 147 s, 4.4 GB/s
648573616128 bytes (649 GB, 604 GiB) copied, 148 s, 4.4 GB/s
652969246720 bytes (653 GB, 608 GiB) copied, 149 s, 4.4 GB/s
657348100096 bytes (657 GB, 612 GiB) copied, 150 s, 4.4 GB/s
661726953472 bytes (662 GB, 616 GiB) copied, 151 s, 4.4 GB/s
666139361280 bytes (666 GB, 620 GiB) copied, 152 s, 4.4 GB/s
670501437440 bytes (671 GB, 624 GiB) copied, 153 s, 4.4 GB/s
674880290816 bytes (675 GB, 629 GiB) copied, 154 s, 4.4 GB/s
679292698624 bytes (679 GB, 633 GiB) copied, 155 s, 4.4 GB/s
683671552000 bytes (684 GB, 637 GiB) copied, 156 s, 4.4 GB/s
688050405376 bytes (688 GB, 641 GiB) copied, 157 s, 4.4 GB/s
692446035968 bytes (692 GB, 645 GiB) copied, 158 s, 4.4 GB/s
696824889344 bytes (697 GB, 649 GiB) copied, 159 s, 4.4 GB/s
701186965504 bytes (701 GB, 653 GiB) copied, 160 s, 4.4 GB/s
705599373312 bytes (706 GB, 657 GiB) copied, 161 s, 4.4 GB/s
709978226688 bytes (710 GB, 661 GiB) copied, 162 s, 4.4 GB/s
714222862336 bytes (714 GB, 665 GiB) copied, 163 s, 4.4 GB/s
718517829632 bytes (719 GB, 669 GiB) copied, 164 s, 4.4 GB/s
722879905792 bytes (723 GB, 673 GiB) copied, 165 s, 4.4 GB/s
727275536384 bytes (727 GB, 677 GiB) copied, 166 s, 4.4 GB/s
731687944192 bytes (732 GB, 681 GiB) copied, 167 s, 4.4 GB/s
736050020352 bytes (736 GB, 686 GiB) copied, 168 s, 4.4 GB/s
740428873728 bytes (740 GB, 690 GiB) copied, 169 s, 4.4 GB/s
744824504320 bytes (745 GB, 694 GiB) copied, 170 s, 4.4 GB/s
749220134912 bytes (749 GB, 698 GiB) copied, 171 s, 4.4 GB/s
753582211072 bytes (754 GB, 702 GiB) copied, 172 s, 4.4 GB/s
757977841664 bytes (758 GB, 706 GiB) copied, 173 s, 4.4 GB/s
762356695040 bytes (762 GB, 710 GiB) copied, 174 s, 4.4 GB/s
766735548416 bytes (767 GB, 714 GiB) copied, 175 s, 4.4 GB/s
771147956224 bytes (771 GB, 718 GiB) copied, 176 s, 4.4 GB/s
775526809600 bytes (776 GB, 722 GiB) copied, 177 s, 4.4 GB/s
779888885760 bytes (780 GB, 726 GiB) copied, 178 s, 4.4 GB/s
784284516352 bytes (784 GB, 730 GiB) copied, 179 s, 4.4 GB/s
788696924160 bytes (789 GB, 735 GiB) copied, 180 s, 4.4 GB/s
793042223104 bytes (793 GB, 739 GiB) copied, 181 s, 4.4 GB/s
797454630912 bytes (797 GB, 743 GiB) copied, 182 s, 4.4 GB/s
801833484288 bytes (802 GB, 747 GiB) copied, 183 s, 4.4 GB/s
806212337664 bytes (806 GB, 751 GiB) copied, 184 s, 4.4 GB/s
810607968256 bytes (811 GB, 755 GiB) copied, 185 s, 4.4 GB/s
815003598848 bytes (815 GB, 759 GiB) copied, 186 s, 4.4 GB/s
819365675008 bytes (819 GB, 763 GiB) copied, 187 s, 4.4 GB/s
823744528384 bytes (824 GB, 767 GiB) copied, 188 s, 4.4 GB/s
828156936192 bytes (828 GB, 771 GiB) copied, 189 s, 4.4 GB/s
832535789568 bytes (833 GB, 775 GiB) copied, 190 s, 4.4 GB/s
836914642944 bytes (837 GB, 779 GiB) copied, 191 s, 4.4 GB/s
841310273536 bytes (841 GB, 784 GiB) copied, 192 s, 4.4 GB/s
845672349696 bytes (846 GB, 788 GiB) copied, 193 s, 4.4 GB/s
850067980288 bytes (850 GB, 792 GiB) copied, 194 s, 4.4 GB/s
854446833664 bytes (854 GB, 796 GiB) copied, 195 s, 4.4 GB/s
858842464256 bytes (859 GB, 800 GiB) copied, 196 s, 4.4 GB/s
863204540416 bytes (863 GB, 804 GiB) copied, 197 s, 4.4 GB/s
867616948224 bytes (868 GB, 808 GiB) copied, 198 s, 4.4 GB/s
871995801600 bytes (872 GB, 812 GiB) copied, 199 s, 4.4 GB/s
876374654976 bytes (876 GB, 816 GiB) copied, 200 s, 4.4 GB/s
880770285568 bytes (881 GB, 820 GiB) copied, 201 s, 4.4 GB/s
885165916160 bytes (885 GB, 824 GiB) copied, 202 s, 4.4 GB/s
889527992320 bytes (890 GB, 828 GiB) copied, 203 s, 4.4 GB/s
893923622912 bytes (894 GB, 833 GiB) copied, 204 s, 4.4 GB/s
898319253504 bytes (898 GB, 837 GiB) copied, 205 s, 4.4 GB/s
902681329664 bytes (903 GB, 841 GiB) copied, 206 s, 4.4 GB/s
907076960256 bytes (907 GB, 845 GiB) copied, 207 s, 4.4 GB/s
911472590848 bytes (911 GB, 849 GiB) copied, 208 s, 4.4 GB/s
915834667008 bytes (916 GB, 853 GiB) copied, 209 s, 4.4 GB/s
920230297600 bytes (920 GB, 857 GiB) copied, 210 s, 4.4 GB/s
924625928192 bytes (925 GB, 861 GiB) copied, 211 s, 4.4 GB/s
928988004352 bytes (929 GB, 865 GiB) copied, 212 s, 4.4 GB/s
933383634944 bytes (933 GB, 869 GiB) copied, 213 s, 4.4 GB/s
937779265536 bytes (938 GB, 873 GiB) copied, 214 s, 4.4 GB/s
942158118912 bytes (942 GB, 877 GiB) copied, 215 s, 4.4 GB/s
946536972288 bytes (947 GB, 882 GiB) copied, 216 s, 4.4 GB/s
950932602880 bytes (951 GB, 886 GiB) copied, 217 s, 4.4 GB/s
955311456256 bytes (955 GB, 890 GiB) copied, 218 s, 4.4 GB/s
959690309632 bytes (960 GB, 894 GiB) copied, 219 s, 4.4 GB/s
964085940224 bytes (964 GB, 898 GiB) copied, 220 s, 4.4 GB/s
968464793600 bytes (968 GB, 902 GiB) copied, 221 s, 4.4 GB/s
972843646976 bytes (973 GB, 906 GiB) copied, 222 s, 4.4 GB/s
977088282624 bytes (977 GB, 910 GiB) copied, 223 s, 4.4 GB/s
981366472704 bytes (981 GB, 914 GiB) copied, 224 s, 4.4 GB/s
985762103296 bytes (986 GB, 918 GiB) copied, 225 s, 4.4 GB/s
990157733888 bytes (990 GB, 922 GiB) copied, 226 s, 4.4 GB/s
994519810048 bytes (995 GB, 926 GiB) copied, 227 s, 4.4 GB/s
998915440640 bytes (999 GB, 930 GiB) copied, 228 s, 4.4 GB/s
1003311071232 bytes (1.0 TB, 934 GiB) copied, 229 s, 4.4 GB/s
1007689924608 bytes (1.0 TB, 938 GiB) copied, 230 s, 4.4 GB/s
1012068777984 bytes (1.0 TB, 943 GiB) copied, 231 s, 4.4 GB/s
1016464408576 bytes (1.0 TB, 947 GiB) copied, 232 s, 4.4 GB/s
1020843261952 bytes (1.0 TB, 951 GiB) copied, 233 s, 4.4 GB/s
1025222115328 bytes (1.0 TB, 955 GiB) copied, 234 s, 4.4 GB/s
