# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu-clock:u'
# Event count (approx.): 272898987170
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 1.84%  | 0.60%  |[.] keylane::DispatchCommandImpl(keylane::DispatchCommandImpl(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane19DispatchCommandImplERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 1.80%  | 1.80%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::FindAddress(unsigned long, unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 1.54%  | 1.25%  |[.] keylane::DispatchCommand(keylane::DispatchCommand(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane15DispatchCommandERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 1.48%  | 0.98%  |[.] keylane::storage::DecodeRecordHeader(std::span<std::byte const, 18446744073709551615ul>, keylane::storage::RecordHeader*, std::basic_string_view<char, std::char_traits<char> >*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 1.42%  | 0.33%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 1.41%  | 0.56%  |[.] celer::IoUringBackend::ReapCompletions()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 1.23%  | 0.47%  |[.] keylane::(anonymous namespace)::PushArgument(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 1.20%  | 1.20%  |[.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.19%  | 0.31%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 1.16%  | 1.16%  |[.] keylane::storage::StorageEngine::Impl::MaterializeIndexLocation(keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Entry const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.15%  | 0.32%  |[.] celer::TcpStream::ReadSome(celer::TcpStream::ReadSome(std::span<std::byte, 18446744073709551615ul>)::_ZN5celer9TcpStream8ReadSomeESt4spanISt4byteLm18446744073709551615EE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 1.14%  | 0.51%  |[.] celer::Worker::Flush()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 1.08%  | 0.67%  |[.] keylane::(anonymous namespace)::ExecuteStorageCommand(keylane::(anonymous namespace)::ExecuteStorageCommand(keylane::CommandRequest const&, keylane::ReplyBuilder&, keylane::ReadLatencyTrace*, keylane::SetLatencyTrace*)::_ZN7keylane12_GLOBAL__N_121ExecuteStorageCommandERKNS_14CommandRequestERNS_12ReplyBuilderEPNS_16ReadLatencyTraceEPNS_15SetLatencyTraceE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 1.07%  | 1.07%  |[.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 1.07%  | 0.69%  |[.] keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordKind, keylane::storage::ValueType, unsigned long, keylane::storage::TxShardWrites*, unsigned long, std::unique_ptr<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> >, std::default_delete<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> > > >, unsigned long*, keylane::storage::ReplicationCommandAppend*, keylane::SetLatencyTrace*, bool, keylane::storage::TxUndoLog*, keylane::storage::MutationPrecondition const*, keylane::storage::StorageEngine::Impl::GroupMutationWrite*)::_ZN7keylane7storage13StorageEngine4Impl12AppendLockedERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestESA_NS0_10RecordKindENS0_9ValueTypeEmPNS0_13TxShardWritesEmSt10unique_ptrISt6vectorINS0_13RetiredRecordESaISK_EESt14default_deleteISM_EEPmPNS0_24ReplicationCommandAppendEPNS_15SetLatencyTraceEbPNS0_9TxUndoLogEPKNS0_20MutationPreconditionEPNS2_18GroupMutationWriteE.Frame*) [clone .actor] [clone .lto_priv.0]  |-      -            
 1.02%  | 0.75%  |[.] keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::RecordLocation, std::shared_ptr<std::vector<keylane::storage::ExtentRef, std::allocator<keylane::storage::ExtentRef> > const>, keylane::ReadLatencyTrace*, std::shared_ptr<keylane::storage::GroupedHashObject const>)::_ZN7keylane7storage13StorageEngine4Impl9LoadValueERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestENS0_14RecordLocationESt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISH_EEEPNS_16ReadLatencyTraceESF_IKNS0_17GroupedHashObjectEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 1.01%  | 1.01%  |[.] keylane::(anonymous namespace)::AppendUnsigned(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 0.82%  | 0.03%  |[.] celer::Task<absl::lts_20250512::Status>::~Task() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 0.80%  | 0.80%  |[.] keylane::(anonymous namespace)::BuildParsedCommandRequest(keylane::RespCommand, unsigned char) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 0.80%  | 0.80%  |[.] keylane::storage::(anonymous namespace)::AppendU32(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned int) [clone .lto_priv.0] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 0.76%  | 0.76%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::emplace_back<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 0.73%  | 0.18%  |[.] celer::ReadOperation::await_resume()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 0.73%  | 0.06%  |[.] celer::Task<keylane::CommandReply>::~Task() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 0.72%  | 0.09%  |[.] keylane::ExecuteCommand(keylane::CommandRequest&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 0.70%  | 0.33%  |[.] keylane::CommandRequest::~CommandRequest() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
