configuration,round,workload,target,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,label,sha256,binary_sha256
12-worker clean reload,1,C,0,READ,452120.44488651777,452120.44488651777,5000000,0,497.3104842,456,729,1274,4071,16231,71039,cpu12-r1,9847b7030592915f10939714500de951417f453356b020e467007f2df621b22a,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,C,0,Intended-READ,452120.44488651777,452120.44488651777,5000000,0,497.3465398,456,729,1274,4071,16231,71039,cpu12-r1,9847b7030592915f10939714500de951417f453356b020e467007f2df621b22a,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,100000,READ,99844.24298094971,49915.372019649345,2499662,0,311.846604060869,296,377,475,2773,4667,9887,cpu12-r1,c089da69357fb640d80f4cd51b2738089abe2a078a0a5faed4459723cb94d303,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,100000,Intended-READ,99844.24298094971,49915.372019649345,2499662,0,391.0125044906071,355,439,802,3925,45151,74047,cpu12-r1,c089da69357fb640d80f4cd51b2738089abe2a078a0a5faed4459723cb94d303,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,100000,UPDATE,99844.24298094971,49928.870961300374,2500338,0,319.64555672073135,303,387,502,2793,4675,10815,cpu12-r1,c089da69357fb640d80f4cd51b2738089abe2a078a0a5faed4459723cb94d303,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,100000,Intended-UPDATE,99844.24298094971,49928.870961300374,2500338,0,398.5479111224162,362,449,831,3945,43359,74879,cpu12-r1,c089da69357fb640d80f4cd51b2738089abe2a078a0a5faed4459723cb94d303,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,0,READ,401316.3175214704,200688.41801107634,2500377,0,586.6141905800605,509,819,3353,6115,13487,75263,cpu12-r1,454521d862bb0354023e95192653664098043d005775bebbabb7119155fab6b2,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,0,Intended-READ,401316.3175214704,200688.41801107634,2500377,0,586.6481722556239,509,819,3353,6115,13487,75263,cpu12-r1,454521d862bb0354023e95192653664098043d005775bebbabb7119155fab6b2,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,0,UPDATE,401316.3175214704,200627.89951039408,2499623,0,603.9393204495237,520,854,3415,6199,18127,81023,cpu12-r1,454521d862bb0354023e95192653664098043d005775bebbabb7119155fab6b2,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,1,A,0,Intended-UPDATE,401316.3175214704,200627.89951039408,2499623,0,603.9762540191061,520,855,3415,6199,18143,81023,cpu12-r1,454521d862bb0354023e95192653664098043d005775bebbabb7119155fab6b2,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,C,100000,READ,99852.21871629987,99852.21871629987,5000000,0,317.1645752,302,419,497,680,1478,21343,cpu12-r2,a06c0367a452b147272500511d7eeeecfee91728a7a60d692cc16cf33b653d12,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,C,100000,Intended-READ,99852.21871629987,99852.21871629987,5000000,0,390.2964548,361,479,565,1580,37215,60895,cpu12-r2,a06c0367a452b147272500511d7eeeecfee91728a7a60d692cc16cf33b653d12,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,C,0,READ,465116.27906976745,465116.27906976745,5000000,0,489.8511424,455,684,1232,3543,12199,81471,cpu12-r2,6175753326f22c4c9e554826ab43d22f96ebed9a452f0afb35f73914140f8d27,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,C,0,Intended-READ,465116.27906976745,465116.27906976745,5000000,0,489.886551,455,684,1232,3543,12199,81471,cpu12-r2,6175753326f22c4c9e554826ab43d22f96ebed9a452f0afb35f73914140f8d27,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,100000,READ,99786.4569820584,49898.85644720298,2500282,0,315.9055386552397,298,384,522,2975,5307,27071,cpu12-r2,3bf4f04580547f943085015b668ac9272047062a7fd688ee9279683cd5c256b3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,100000,Intended-READ,99786.4569820584,49898.85644720298,2500282,0,428.7581240836034,356,447,973,14359,78783,103679,cpu12-r2,3bf4f04580547f943085015b668ac9272047062a7fd688ee9279683cd5c256b3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,100000,UPDATE,99786.4569820584,49887.60053485541,2499718,0,325.1561208104274,305,396,568,3185,5723,33215,cpu12-r2,3bf4f04580547f943085015b668ac9272047062a7fd688ee9279683cd5c256b3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,100000,Intended-UPDATE,99786.4569820584,49887.60053485541,2499718,0,439.4800585506045,364,458,1009,17567,79615,104447,cpu12-r2,3bf4f04580547f943085015b668ac9272047062a7fd688ee9279683cd5c256b3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,0,READ,395820.139328689,197845.63014566182,2499186,0,585.1687057305859,510,819,3229,6127,11879,62751,cpu12-r2,0bf3a0ae1877d40e01ba7850c3cf77185db56cd79d03e41aae493e7a273a095f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,0,Intended-READ,395820.139328689,197845.63014566182,2499186,0,585.2035298693255,510,819,3229,6127,11879,62751,cpu12-r2,0bf3a0ae1877d40e01ba7850c3cf77185db56cd79d03e41aae493e7a273a095f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,0,UPDATE,395820.139328689,197974.50918302723,2500814,0,602.9475210871341,521,856,3329,6167,15439,65855,cpu12-r2,0bf3a0ae1877d40e01ba7850c3cf77185db56cd79d03e41aae493e7a273a095f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,2,A,0,Intended-UPDATE,395820.139328689,197974.50918302723,2500814,0,602.9827876043561,521,856,3329,6167,15439,65855,cpu12-r2,0bf3a0ae1877d40e01ba7850c3cf77185db56cd79d03e41aae493e7a273a095f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,C,100000,READ,99792.43174197669,99792.43174197669,5000000,0,312.3532822,297,408,483,753,1611,41695,cpu12-r3,a56ece719d1f6a8543881ea6081d413f91ad5081a2f7d54fb0161dbc6997e0ea,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
12-worker clean reload,3,C,100000,Intended-READ,99792.43174197669,99792.43174197669,5000000,0,408.779701,356,468,553,11111,66047,96319,cpu12-r3,a56ece719d1f6a8543881ea6081d413f91ad5081a2f7d54fb0161dbc6997e0ea,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
