# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cpu-clock:u'
# Event count (approx.): 374595955850
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 1.77%  | 0.38%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHash(keylane::storage::StorageEngine::Impl::ExecuteHash(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperation const&, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::_ZN7keylane7storage13StorageEngine4Impl11ExecuteHashEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_13HashOperationEPNS0_24ReplicationCommandAppendEPKNS0_20MutationPreconditionE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 1.76%  | 1.76%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::FindAddress(unsigned long, unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 1.75%  | 1.75%  |[.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.70%  | 0.54%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 1.65%  | 1.59%  |[.] celer::Worker::DrainCrossCore()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 1.61%  | 0.52%  |[.] keylane::DispatchCommandImpl(keylane::DispatchCommandImpl(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane19DispatchCommandImplERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 1.49%  | 0.97%  |[.] keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::RecordLocation, std::shared_ptr<std::vector<keylane::storage::ExtentRef, std::allocator<keylane::storage::ExtentRef> > const>, keylane::ReadLatencyTrace*, std::shared_ptr<keylane::storage::GroupedHashObject const>)::_ZN7keylane7storage13StorageEngine4Impl9LoadValueERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestENS0_14RecordLocationESt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISH_EEEPNS_16ReadLatencyTraceESF_IKNS0_17GroupedHashObjectEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 1.43%  | 0.28%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 1.34%  | 1.34%  |[.] keylane::storage::StorageEngine::Impl::MaterializeIndexLocation(keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Entry const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.28%  | 0.57%  |[.] keylane::ReplyBuilder::AppendBulkString(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
