stage,workload,round,variant,target,workers,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,log,sha256,binary_sha256
reserve,A,3,direct,0,256,READ,366757.1334262451,183306.60896354433,2499019,0,639.0663668423489,556,974,2909,6711,10191,83391,hash-direct-reserve-r3-direct-hmset-a-c256-measured.log,890a04b4bc31f2adb793d7391758464f1b270578edd2c3813b74b07f97c3ba40,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,3,direct,0,256,Intended-READ,366757.1334262451,183306.60896354433,2499019,0,639.0990312598664,556,974,2909,6711,10191,83391,hash-direct-reserve-r3-direct-hmset-a-c256-measured.log,890a04b4bc31f2adb793d7391758464f1b270578edd2c3813b74b07f97c3ba40,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,3,direct,0,256,UPDATE,366757.1334262451,183450.5244627008,2500981,0,659.5145021093723,572,1009,3003,6763,10479,89151,hash-direct-reserve-r3-direct-hmset-a-c256-measured.log,890a04b4bc31f2adb793d7391758464f1b270578edd2c3813b74b07f97c3ba40,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,3,direct,0,256,Intended-UPDATE,366757.1334262451,183450.5244627008,2500981,0,659.5483524265078,572,1009,3003,6763,10479,89151,hash-direct-reserve-r3-direct-hmset-a-c256-measured.log,890a04b4bc31f2adb793d7391758464f1b270578edd2c3813b74b07f97c3ba40,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,3,reserve,100000,256,READ,99736.69512487034,49863.32083300088,2499748,0,336.2932775623783,314,408,626,3839,7163,23711,hash-direct-reserve-r3-reserve-hmset-a-c256-target100000-measured.log,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,reserve,100000,256,Intended-READ,99736.69512487034,49863.32083300088,2499748,0,444.6597565034555,373,471,1123,16255,65247,105343,hash-direct-reserve-r3-reserve-hmset-a-c256-target100000-measured.log,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,reserve,100000,256,UPDATE,99736.69512487034,49873.37429186946,2500252,0,350.1073291812185,327,425,686,3873,7447,31007,hash-direct-reserve-r3-reserve-hmset-a-c256-target100000-measured.log,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,reserve,100000,256,Intended-UPDATE,99736.69512487034,49873.37429186946,2500252,0,460.5985480663549,385,487,1151,18767,68031,106751,hash-direct-reserve-r3-reserve-hmset-a-c256-target100000-measured.log,a7d3459a19f055f477b7240143bd7426b74d27422df924f3e86d2ff555f3d4e0,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,reserve,0,256,READ,366649.5563540368,183394.44159272566,2500950,0,634.818400607769,553,955,2977,6803,15431,46431,hash-direct-reserve-r3-reserve-hmset-a-c256-measured.log,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,reserve,0,256,Intended-READ,366649.5563540368,183394.44159272566,2500950,0,634.8590179731702,553,955,2977,6803,15431,46431,hash-direct-reserve-r3-reserve-hmset-a-c256-measured.log,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,reserve,0,256,UPDATE,366649.5563540368,183255.11476131112,2499050,0,655.3953506332406,568,992,3087,6883,15927,121983,hash-direct-reserve-r3-reserve-hmset-a-c256-measured.log,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,3,reserve,0,256,Intended-UPDATE,366649.5563540368,183255.11476131112,2499050,0,655.4287545267201,568,992,3087,6883,15927,121983,hash-direct-reserve-r3-reserve-hmset-a-c256-measured.log,272f7da37b37af111aa32e72765e692a4e8a4c3c04265a05bbc8faf17cd3fa6c,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
